[1 % 3, 1 % 8, 11 % 24]
[1 % 3, 4 % 33, 5 % 11]
[1 % 3, 5 % 8, 23 % 24]
[1 % 3, 5 % 8, 17 % 24]
[1 % 3, 5 % 9, 8 % 9]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 5 % 11, 26 % 33]
[1 % 3, 5 % 12, 3 % 4]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 5 % 18, 11 % 18]
[1 % 3, 1 % 4, 7 % 12]
[1 % 3, 1 % 4, 5 % 12]
[1 % 3, 5 % 21, 4 % 7]
[1 % 3, 5 % 24, 13 % 24]
[1 % 3, 1 % 5, 8 % 15]
[1 % 3, 5 % 27, 14 % 27]
[1 % 3, 1 % 6, 1 % 2]
[1 % 3, 5 % 33, 16 % 33]
[1 % 3, 1 % 7, 10 % 21]
[1 % 3, 3 % 5, 14 % 15]
[1 % 3, 6 % 11, 29 % 33]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 3 % 7, 16 % 21]
[1 % 3, 2 % 5, 11 % 15]
[1 % 3, 3 % 8, 17 % 24]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 3 % 10, 19 % 30]
[1 % 3, 2 % 7, 13 % 21]
[1 % 3, 3 % 11, 20 % 33]
[1 % 3, 1 % 4, 7 % 12]
[1 % 3, 1 % 4, 5 % 12]
[1 % 3, 2 % 9, 5 % 9]
[1 % 3, 1 % 5, 8 % 15]
[1 % 3, 2 % 11, 17 % 33]
[1 % 3, 7 % 11, 32 % 33]
[1 % 3, 7 % 12, 11 % 12]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 7 % 15, 4 % 5]
[1 % 3, 7 % 18, 13 % 18]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 7 % 24, 5 % 8]
[1 % 3, 7 % 27, 16 % 27]
[1 % 3, 1 % 4, 7 % 12]
[1 % 3, 1 % 4, 5 % 12]
[1 % 3, 7 % 30, 17 % 30]
[1 % 3, 7 % 33, 6 % 11]
[1 % 3, 1 % 5, 8 % 15]
[1 % 3, 4 % 5, 13 % 15]
[1 % 3, 4 % 7, 19 % 21]
[1 % 3, 8 % 15, 13 % 15]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 4 % 9, 7 % 9]
[1 % 3, 4 % 9, 5 % 9]
[1 % 3, 2 % 5, 11 % 15]
[1 % 3, 8 % 21, 5 % 7]
[1 % 3, 4 % 11, 23 % 33]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 8 % 27, 17 % 27]
[1 % 3, 2 % 7, 13 % 21]
[1 % 3, 4 % 15, 3 % 5]
[1 % 3, 1 % 4, 7 % 12]
[1 % 3, 1 % 4, 5 % 12]
[1 % 3, 8 % 33, 19 % 33]
[1 % 3, 3 % 5, 14 % 15]
[1 % 3, 1 % 2, 5 % 6]
[1 % 3, 3 % 7, 16 % 21]
[1 % 3, 3 % 8, 17 % 24]
[1 % 3, 1 % 3, 2 % 3]
[1 % 3, 3 % 10, 19 % 30]
[1 % 3, 3 % 11, 20 % 33]
[1 % 3, 5 % 8, 23 % 24]
[1 % 3, 5 % 8, 17 % 24]
[1 % 3, 5 % 9, 8 % 9]
